encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.66,3.19,2.94,2.72,3.22,2.85
france-morocco,1.65,3.71,6.55,1.59,3.93,6.91
argentina-croatia,2.01,3.1,4.8,1.92,3.34,4.78
england-france,2.95,3.13,2.69,3.05,3.14,2.61
netherlands-argentina,3.59,3.15,2.31,3.77,3.25,2.19
croatia-brazil,8.85,4.86,1.41,9.01,4.98,1.39
portugal-switzerland,1.87,3.72,4.42,1.88,3.48,4.76
morocco-spain,6.21,3.91,1.63,7.33,4.2,1.53
brazil-south-korea,1.25,6.62,12.81,1.29,6.13,11.23
japan-croatia,3.72,3.33,2.17,3.75,3.39,2.14
england-senegal,1.6,3.85,6.92,1.56,4,7.27
france-poland,1.39,5.02,8.91,1.34,5.39,10.51
argentina-australia,1.3,6.39,9.73,1.27,6.43,11.52
cameroon-brazil,8.47,5.41,1.38,8.36,5.18,1.4
serbia-switzerland,2.58,3.37,2.9,2.54,3.39,2.93
ghana-uruguay,4.72,3.91,1.78,4.55,3.8,1.83
south-korea-portugal,4.46,3.88,1.83,4.27,3.9,1.86
costa-rica-germany,19.93,12.4,1.08,21.98,12.8,1.08
japan-spain,7.49,4.63,1.47,7.09,4.4,1.51
canada-morocco,4.84,3.55,1.85,4.9,3.6,1.83
croatia-belgium,3.1,3.42,2.41,2.81,3.43,2.62
poland-argentina,7.52,4.69,1.46,7.48,4.46,1.49
saudi-arabia-mexico,5.44,4.39,1.62,4.9,4.25,1.69
australia-denmark,7.35,5.07,1.44,6.8,4.38,1.53
tunisia-france,6.51,4.07,1.59,9.15,5.17,1.38
iran-usa,4.41,3.53,1.93,4.38,3.55,1.93
wales-england,8.66,4.44,1.45,9.36,4.57,1.42
ecuador-senegal,2.42,3.13,3.36,2.41,3.22,3.29
netherlands-qatar,1.22,7.16,14.4,1.25,6.68,12.95
portugal-uruguay,1.91,3.3,4.47,2.03,3.27,4.35
brazil-switzerland,1.49,4.36,7.9,1.49,4.39,7.77
south-korea-ghana,2.8,3.07,2.89,2.63,3.11,3.06
cameroon-serbia,5.38,3.75,1.73,5.21,3.67,1.77
spain-germany,2.6,3.39,2.86,2.46,3.43,3.02
croatia-canada,2.19,3.33,3.68,2.22,3.36,3.54
belgium-morocco,1.83,3.58,4.92,1.86,3.51,4.86
japan-costa-rica,1.5,4.3,7.64,1.46,4.5,8.19
argentina-mexico,1.55,4.06,7.32,1.5,4.15,8.18
france-denmark,1.78,3.69,5.1,1.82,3.63,4.88
poland-saudi-arabia,1.75,3.75,5.26,1.8,3.61,5.05
tunisia-australia,2.2,3.25,3.55,2.18,3.32,3.72
england-usa,1.47,4.41,8.11,1.48,4.44,7.72
netherlands-ecuador,1.81,3.54,5.18,1.81,3.56,5.11
qatar-senegal,5.33,3.64,1.76,6.11,3.66,1.69
wales-iran,2.1,3.2,4.16,2.19,3.17,3.89
brazil-serbia,1.44,4.83,7.71,1.43,4.85,8.01
portugal-ghana,1.31,5.79,10.63,1.38,5.28,8.77
uruguay-south-korea,1.78,3.56,5.36,1.76,3.55,5.2
switzerland-cameroon,1.8,3.55,4.75,1.79,3.55,5
belgium-canada,1.61,4.25,5.85,1.58,4.34,5.96
morocco-croatia,3.45,3.25,2.2,3.75,3.2,2.17
france-australia,1.2,6.75,14.5,1.27,5.5,10.5
mexico-poland,2.4,3.05,3.2,2.1,3.65,3.25
denmark-tunisia,1.6,3.85,6,1.63,3.8,6.2
argentina-saudi-arabia,1.12,8.25,25,1.35,5.3,7.75
usa-wales,2.5,3.05,3.1,2.55,3.1,3.05
senegal-netherlands,5.6,3.7,1.65,5.6,3.65,1.7
england-iran,1.4,4.5,9.8,1.41,4.5,9.2
qatar-ecuador,3.75,3.05,2.2,3.55,3.05,2.31
