encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.7,3.1,2.88,2.75,3.25,2.63
croatia-morocco,2.2,3.5,3.1,2.3,3.5,3
france-morocco,1.55,4,6.5,1.53,4,6.5
argentina-croatia,1.95,3.1,4.75,1.8,3.25,5.5
england-france,2.75,3.1,2.7,3,3.2,2.4
morocco-portugal,6.5,3.8,1.57,5.75,3.6,1.67
netherlands-argentina,3.6,3.1,2.2,3.25,3.25,2.25
croatia-brazil,9,4.75,1.36,8,4.5,1.4
portugal-switzerland,2,3.5,3.8,1.9,3.5,4
morocco-spain,6,3.75,1.62,8,3.6,1.5
brazil-south-korea,1.2,6.5,13,1.25,5.75,11
japan-croatia,3.8,3.25,2.05,3.1,3.1,2.37
england-senegal,1.6,3.6,6.5,1.57,3.5,7
france-poland,1.36,4.75,9,1.33,5,10
argentina-australia,1.28,6,9,1.2,6.5,15
netherlands-usa,1.9,3.3,4.33,1.9,3.3,4.2
cameroon-brazil,11,5.25,1.3,9.5,5,1.33
serbia-switzerland,2.55,3.3,2.8,2.75,3.4,2.5
ghana-uruguay,4.5,3.8,1.75,4.75,3.6,1.75
south-korea-portugal,4,3.75,1.85,9,4.75,1.36
costa-rica-germany,26,11,1.08,11,5.5,1.28
japan-spain,6.5,4.33,1.5,9,5.25,1.33
canada-morocco,4.75,3.4,1.83,3.2,3.3,2.25
croatia-belgium,3,3.4,2.37,4,3.6,1.9
poland-argentina,8.5,4.5,1.4,4.75,4,1.66
saudi-arabia-mexico,5.5,4.2,1.57,6.5,4,1.53
australia-denmark,7,5,1.4,6.5,3.6,1.6
tunisia-france,5.75,3.8,1.61,13,5.5,1.25
iran-usa,4.2,3.4,1.9,3.5,3.4,2.1
wales-england,8.5,4.2,1.44,6,4,1.57
ecuador-senegal,2.45,3,3.25,2.9,3.2,2.5
netherlands-qatar,1.18,7,15,1.33,5,9.5
portugal-uruguay,1.9,3.3,4.5,2.05,3.25,3.6
brazil-switzerland,1.5,4.2,7.5,1.5,4,6.5
south-korea-ghana,2.75,3.1,2.75,2.55,3,2.87
cameroon-serbia,5,3.8,1.7,4,3.25,1.95
spain-germany,2.5,3.5,2.75,2.5,3.25,2.75
croatia-canada,2.25,3.25,3.5,1.8,3.5,4.33
belgium-morocco,1.9,3.5,4.2,1.5,4.2,6
japan-costa-rica,1.45,4.33,7.5,1.85,3.3,4.33
argentina-mexico,1.55,3.8,7,1.57,3.75,5.75
france-denmark,1.8,3.6,4.5,1.95,3.25,4
poland-saudi-arabia,1.7,3.6,5.25,1.61,3.6,5.5
tunisia-australia,2.15,3.3,3.6,2.87,3,2.55
england-usa,1.45,4.2,8,1.65,3.75,5
netherlands-ecuador,1.85,3.3,4.75,1.65,3.75,5
qatar-senegal,5.25,3.6,1.7,3.75,3.25,2
wales-iran,2.1,3.2,3.8,2.15,3.1,3.5
brazil-serbia,1.44,4.33,7,1.5,4,7
portugal-ghana,1.28,5.25,10,1.57,3.7,6.5
uruguay-south-korea,1.75,3.5,5,1.8,3.5,4.5
switzerland-cameroon,1.72,3.4,5.5,1.83,3.4,4.5
belgium-canada,1.6,4,5.75,1.28,5,11
spain-costa-rica,1.12,9,17,1.25,5.5,12
germany-japan,1.4,5,7.5,1.33,5,9
morocco-croatia,3.4,3.25,2.25,4,3.4,1.9
france-australia,1.18,7,15,1.2,7.5,10
mexico-poland,2.45,3.1,3.2,2.8,3.2,2.5
denmark-tunisia,1.57,4,6,1.53,3.75,7
argentina-saudi-arabia,1.11,8.5,23,1.22,6,12
usa-wales,2.45,3.1,3.2,2.5,3.2,2.87
senegal-netherlands,5.5,3.6,1.66,5,3.75,1.66
england-iran,1.36,4.75,9,1.4,4.33,8.5
qatar-ecuador,3.75,3,2.2,3.2,3.25,2.25
