encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.15,3,4,1.91,3.2,4.5
belgium-england,2.15,3.75,3.1,2.25,3.3,3
croatia-england,3.75,2.9,2.25,3.5,3.1,2.2
france-belgium,2.5,3.1,3,2.5,3.25,2.8
russia-croatia,4.2,3,2.05,3.5,3.1,2.2
sweden-england,5,3.2,1.85,5,3.2,1.8
brazil-belgium,2.05,3.3,3.75,2.1,3.2,3.6
uruguay-france,4.5,3,2,4.5,3.2,1.91
colombia-england,3.75,3.1,2.15,3.75,3,2.15
sweden-switzerland,3.2,2.9,2.5,2.9,2.9,2.7
belgium-japan,1.4,4.5,8,1.33,5,9
brazil-mexico,1.5,4.2,7,1.5,4,7
croatia-denmark,1.95,3.1,4.6,1.8,3.3,4.8
spain-russia,1.57,3.75,6.5,1.53,3.6,6
uruguay-portugal,2.9,2.9,2.75,2.62,3.1,2.62
france-argentina,2.3,3.1,3.3,2.3,3,3.4
england-belgium,2.45,2.8,3.3,2.88,3.3,2.3
panama-tunisia,4.2,3.5,1.83,3.2,3.1,2.3
japan-poland,2.88,3,2.62,4.2,3.2,1.95
senegal-colombia,4.75,3.5,1.75,4.2,3.3,1.91
serbia-brazil,7,4.33,1.44,8,4.6,1.35
switzerland-costa-rica,1.57,3.5,7,1.91,3.25,4
mexico-sweden,2.2,3.25,3.3,2.4,3.1,2.9
south-korea-germany,17,6.5,1.17,9.5,5.5,1.25
iceland-croatia,4.2,3.7,1.8,4.6,3.4,1.75
nigeria-argentina,5.5,4.6,1.5,7,4.33,1.44
australia-peru,2.8,3.4,2.4,3.4,3.2,2.1
denmark-france,4.75,2.7,2.05,6,3.75,1.6
iran-portugal,5.5,3.75,1.62,8.5,4.75,1.33
spain-morocco,1.36,4.5,9,1.35,4.6,8
saudi-arabia-egypt,4.8,3.4,1.75,5,3.5,1.67
uruguay-russia,2.7,2.9,2.9,2.4,3.1,3
poland-colombia,3.4,3.4,2.1,2.88,3.2,2.38
japan-senegal,3,2.9,2.62,3,3.1,2.38
england-panama,1.22,6,15,1.17,6.5,15
germany-sweden,1.44,4.6,7.5,1.5,4.2,5.8
south-korea-mexico,5,4,1.67,3.7,3.4,1.91
belgium-tunisia,1.33,5,11,1.22,5.8,11
serbia-switzerland,2.75,3,2.88,2.75,3.2,2.45
nigeria-iceland,2.9,3.1,2.62,2.7,3.2,2.5
brazil-costa-rica,1.2,6.5,19,1.2,6,12
argentina-croatia,2.1,3.2,4.2,1.8,3.4,4.33
france-peru,1.62,3.8,6.5,1.3,5,8.5
denmark-australia,1.91,3.4,4.33,1.73,3.6,4.5
iran-spain,17,6,1.22,15,6.5,1.17
uruguay-saudi-arabia,1.22,5.8,19,1.22,5.8,11
portugal-morocco,1.7,3.5,6,1.5,4,6
russia-egypt,1.91,3.5,4.33,1.91,3.4,3.75
poland-senegal,2.5,3,3.2,2.05,3.2,3.5
colombia-japan,1.85,3.3,5,1.73,3.4,4.75
tunisia-england,7.5,4.2,1.5,9,5,1.3
belgium-panama,1.22,6,17,1.12,7,19
sweden-south-korea,2.25,3,3.7,2.1,3.2,3.4
brazil-switzerland,1.44,4.2,8.5,1.33,4.75,8.5
germany-mexico,1.5,4.5,7,1.44,4.2,6.5
costa-rica-serbia,5,3.4,1.83,3.9,3.25,1.91
croatia-nigeria,1.7,3.6,6,1.8,3.5,4.2
peru-denmark,3.5,3,2.38,3.4,3.3,2.05
argentina-iceland,1.33,5,11,1.3,4.75,10
france-australia,1.25,7,11,1.17,6,17
portugal-spain,4.5,3.1,2,4,3.25,1.91
morocco-iran,2.25,2.88,4,2.15,3.1,3.4
egypt-uruguay,8,4,1.5,5,3.4,1.73
russia-saudi-arabia,1.44,4.2,9,1.29,4.75,11
