encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.18,3.05,3.9,1.88,3.18,4.67
belgium-england,2.2,3.7,3.15,2.21,3.39,3.19
croatia-england,3.75,2.92,2.28,3.32,3.05,2.32
france-belgium,2.6,3.05,3.05,2.47,3.07,3.03
russia-croatia,4.3,3.05,2.08,3.42,3.27,2.16
sweden-england,5.1,3.3,1.84,4.64,3.38,1.82
brazil-belgium,2.16,3.4,3.5,2.05,3.3,3.65
uruguay-france,4.2,3.05,2.1,4.09,3.14,2.01
colombia-england,3.95,3.1,2.15,3.79,3.04,2.14
sweden-switzerland,3.4,2.9,2.5,2.83,3.04,2.65
belgium-japan,1.42,4.55,8.5,1.37,4.64,8.82
brazil-mexico,1.48,4.3,7.5,1.58,3.7,6.39
croatia-denmark,1.95,3.2,4.65,1.8,3.58,4.43
spain-russia,1.63,4.1,5.5,1.54,3.89,6.98
uruguay-portugal,2.95,2.95,2.75,2.92,3.13,2.58
france-argentina,2.45,3,3.3,2.25,3.05,3.45
england-belgium,2.47,2.83,3.55,2.83,3.13,2.46
panama-tunisia,4.25,3.7,1.87,3.15,3.11,2.27
japan-poland,2.8,3.1,2.75,4.23,3.37,1.83
senegal-colombia,5,3.7,1.76,3.78,3.29,1.95
serbia-brazil,7.25,4.4,1.48,8.66,4.54,1.34
switzerland-costa-rica,1.59,3.6,7.5,1.78,3.4,4.48
mexico-sweden,2.2,3.3,3.55,2.4,3.14,2.9
south-korea-germany,18,7.7,1.17,10.69,5.11,1.26
iceland-croatia,4.25,3.9,1.82,4.44,3.44,1.77
nigeria-argentina,5.7,5.2,1.48,6.25,3.92,1.5
australia-peru,2.85,3.45,2.5,3.43,3.14,2.13
denmark-france,5.15,2.75,2.07,5.5,3.76,1.58
iran-portugal,6,4,1.6,10.02,4.68,1.3
spain-morocco,1.36,4.9,9.75,1.34,4.64,8.46
saudi-arabia-egypt,5,3.5,1.8,5,3.4,1.71
uruguay-russia,2.75,3,2.9,2.41,3.13,2.89
poland-colombia,3.5,3.3,2.2,2.69,3.09,2.6
japan-senegal,3.15,2.9,2.63,2.84,3.06,2.49
england-panama,1.22,6,18,1.22,5.45,12.96
germany-sweden,1.48,4.45,7,1.52,4.02,5.69
south-korea-mexico,5.7,3.5,1.72,3.82,3.21,1.97
belgium-tunisia,1.34,5,11,1.27,5.14,10.38
serbia-switzerland,2.75,2.95,2.95,2.88,3,2.5
nigeria-iceland,2.95,3,2.7,2.84,3.02,2.52
brazil-costa-rica,1.21,6.5,17,1.22,5.68,11.81
argentina-croatia,2.05,3.25,4.1,1.75,3.44,4.56
france-peru,1.6,3.85,6.3,1.38,4.45,7.67
denmark-australia,1.9,3.4,4.5,1.7,3.44,4.95
iran-spain,18,6.6,1.2,15.51,5.82,1.19
uruguay-saudi-arabia,1.21,6.5,17,1.27,5.11,10.56
portugal-morocco,1.67,3.65,6,1.53,3.77,6.28
russia-egypt,1.95,3.5,4.1,1.81,3.3,4.42
poland-senegal,2.45,3,3.3,2.19,3.04,3.39
colombia-japan,1.9,3.2,4.9,1.75,3.41,4.63
tunisia-england,8.5,4.1,1.47,9.29,4.77,1.31
belgium-panama,1.21,6.5,17,1.2,5.88,13.35
sweden-south-korea,2.25,2.95,3.85,2.18,3.05,3.41
brazil-switzerland,1.48,4.3,7.5,1.36,4.58,7.8
germany-mexico,1.47,4.4,7.3,1.51,4.06,5.87
costa-rica-serbia,5.25,3.3,1.83,4.05,3.12,1.95
croatia-nigeria,1.7,3.75,5.4,1.88,3.27,4.15
peru-denmark,3.5,3,2.35,3.44,3.13,2.13
argentina-iceland,1.33,5.1,10.5,1.35,4.31,9.23
france-australia,1.25,7.15,10,1.21,5.48,14.2
portugal-spain,4.1,3.25,2.04,4.36,3.38,1.8
morocco-iran,2.25,2.9,4,2.29,2.88,3.38
egypt-uruguay,7.5,4,1.52,5.12,3.61,1.65
russia-saudi-arabia,1.48,4.05,8.3,1.36,4.29,8.82
