encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.18,3.05,4.2,1.95,3.15,4.75
belgium-england,2.26,3.8,3.15,2.3,3.3,3.3
croatia-england,3.9,3,2.3,3.55,3.2,2.25
france-belgium,2.6,3.2,3.05,2.4,3.3,3
russia-croatia,4.15,3.2,2.12,3.65,3.2,2.15
sweden-england,5.2,3.4,1.86,4.5,3.45,1.9
brazil-belgium,2.15,3.45,3.7,2,3.3,3.75
uruguay-france,4.45,3.2,2.05,4,3.2,2
colombia-england,4.1,3.15,2.16,3.3,3.1,2.3
sweden-switzerland,3.25,3,2.6,2.9,3,2.65
belgium-japan,1.46,4.6,8.25,1.4,4.5,8
brazil-mexico,1.5,4.5,7.5,1.55,3.85,6
croatia-denmark,1.97,3.25,4.8,1.8,3.4,5
spain-russia,1.58,4.15,6.6,1.7,3.6,5
uruguay-portugal,3.05,3,2.77,3.4,3,2.4
france-argentina,2.4,3.15,3.45,2.2,3.1,3.65
england-belgium,2.5,2.85,3.65,3,3.25,2.6
panama-tunisia,4.35,3.8,1.88,3.4,3.2,2.4
japan-poland,2.95,3.2,2.7,5.25,3.8,1.75
senegal-colombia,5.3,3.85,1.74,3.5,3.4,2.25
serbia-brazil,7.6,4.6,1.48,9,5,1.4
switzerland-costa-rica,1.6,3.7,7.75,1.85,3.55,5
mexico-sweden,2.22,3.4,3.6,2.25,3.4,3.5
south-korea-germany,19,8.5,1.17,17,7.5,1.2
iceland-croatia,4.5,3.95,1.83,6.75,4.35,1.55
nigeria-argentina,5.85,5.25,1.51,6.35,4.5,1.55
australia-peru,3,3.55,2.45,4.1,3.3,2.1
denmark-france,5.2,2.8,2.1,6,4,1.65
iran-portugal,6.25,4.05,1.62,12,5,1.35
spain-morocco,1.38,5,10,1.45,5,7.5
saudi-arabia-egypt,5.15,3.65,1.8,4.8,3.45,1.9
uruguay-russia,2.7,3.1,3.05,2.7,3.55,2.7
poland-colombia,3.55,3.5,2.2,2.75,3.35,2.75
japan-senegal,3.15,2.95,2.72,3.5,3.4,2.25
england-panama,1.22,6.6,18.5,1.2,7.5,17
germany-sweden,1.5,4.55,7.25,1.5,4.15,8.5
south-korea-mexico,5.75,3.7,1.72,9,4.5,1.45
belgium-tunisia,1.35,5.1,11.5,1.25,6.5,14
serbia-switzerland,2.75,3.05,3,2.6,3.4,2.9
nigeria-iceland,3,3.1,2.72,2.8,3.55,2.6
brazil-costa-rica,1.21,6.75,20,1.23,7,15
argentina-croatia,2.15,3.25,4,2.45,3.4,3.1
france-peru,1.63,3.85,6.7,1.33,6,9.5
denmark-australia,1.94,3.4,4.65,1.75,4.1,4.8
iran-spain,18.5,6.5,1.22,15,8,1.2
uruguay-saudi-arabia,1.2,6.7,21,1.35,5.8,9
portugal-morocco,1.7,3.65,6.25,1.7,4,5.4
russia-egypt,1.96,3.55,4.3,1.6,4.25,6.1
poland-senegal,2.55,3.05,3.3,2.25,3.4,3.5
colombia-japan,1.88,3.35,5.15,1.75,3.8,5.25
tunisia-england,9,4.25,1.47,12,5,1.35
belgium-panama,1.21,6.8,19.5,1.16,9,21
sweden-south-korea,2.28,3.05,3.9,1.55,4.25,7
brazil-switzerland,1.48,4.35,8.4,1.35,5,12
germany-mexico,1.45,4.2,7.8,1.6,4,6.8
costa-rica-serbia,5.45,3.4,1.83,5.5,3.7,1.75
croatia-nigeria,1.67,3.75,6.25,1.7,3.75,5.9
peru-denmark,3.75,3.1,2.3,4,3.35,2.1
argentina-iceland,1.33,5.45,11.25,1.45,5,7.5
france-australia,1.27,7.25,10,1.26,6,16
portugal-spain,4.5,3.25,2.02,4.5,3.3,2
morocco-iran,2.22,2.95,4.25,2,3.4,4.35
egypt-uruguay,8.6,4.2,1.49,7,4.25,1.55
russia-saudi-arabia,1.47,4.25,9.1,1.45,4.5,9
