encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.02,2.98,4.88,1.85,3.3,4.44
belgium-england,2.1,3.74,3.42,2.47,3.36,3.24
croatia-england,4.28,2.97,2.15,3.86,3.3,2.22
france-belgium,2.58,3.08,3.08,2.52,3.3,2.85
russia-croatia,3.7,3.18,2.21,3.94,3.13,2.28
sweden-england,5.6,3.36,1.78,4.74,3.4,1.97
brazil-belgium,1.99,3.46,4.04,2.47,3.28,3.3
uruguay-france,5.25,3.07,1.92,4.3,3.54,2.01
colombia-england,4.16,3.07,2.13,4.34,3.64,1.97
sweden-switzerland,3.36,2.92,2.52,2.88,3.18,2.85
belgium-japan,1.37,4.76,10,1.45,4.74,9
brazil-mexico,1.47,4.36,7.9,1.58,4.14,7.3
croatia-denmark,1.85,3.26,5.2,1.84,3.76,4.92
spain-russia,1.53,4.18,6.95,1.62,4,6.85
uruguay-portugal,3.2,2.95,2.59,3.48,3.34,2.35
france-argentina,2.42,3.07,3.36,2.47,3.1,3.09
england-belgium,2.67,2.78,3.3,2.97,3.4,2.62
panama-tunisia,4.72,3.76,1.79,3.4,3.48,2.33
japan-poland,2.61,3.07,3.06,4.54,3.68,1.92
senegal-colombia,5.65,3.7,1.7,4.4,3.6,1.97
serbia-brazil,8.5,4.72,1.41,11,4.94,1.4
switzerland-costa-rica,1.55,3.74,8,1.92,3.64,4.6
mexico-sweden,2.18,3.36,3.56,2.97,3.4,2.62
south-korea-germany,23,8.4,1.14,11,5.5,1.36
iceland-croatia,4.88,3.96,1.73,3.24,3.34,2.47
nigeria-argentina,6.6,5.15,1.44,7.7,4.54,1.51
australia-peru,3.16,3.56,2.28,2.61,3.5,2.9
denmark-france,6.45,2.72,1.95,4.64,3.74,1.89
iran-portugal,7,4.08,1.54,9.8,5,1.41
spain-morocco,1.31,5,12.5,1.43,4.9,9.2
saudi-arabia-egypt,5.95,3.56,1.7,5.9,3.8,1.62
uruguay-russia,3.06,3.06,2.61,2.3,3.34,3.6
poland-colombia,3.56,3.46,2.13,2.41,3.4,3.3
japan-senegal,3.52,2.87,2.47,2.62,3.4,2.97
england-panama,1.21,6.4,18,1.26,7,13.5
germany-sweden,1.41,4.7,8.6,1.58,4.04,7.5
south-korea-mexico,5.9,3.86,1.64,5.4,3.78,1.78
belgium-tunisia,1.3,5.15,13,1.36,5.5,11
serbia-switzerland,3.02,2.96,2.72,2.94,3.36,2.67
nigeria-iceland,3.13,3.07,2.56,2.89,3.4,2.69
brazil-costa-rica,1.19,6.7,20,1.22,7.3,18
argentina-croatia,1.98,3.26,4.4,1.48,4.74,7.9
france-peru,1.55,3.88,7.5,1.33,6,11
denmark-australia,1.9,3.36,4.64,2.26,3.52,3.5
iran-spain,22,6.9,1.18,12.5,6.4,1.29
uruguay-saudi-arabia,1.2,6.95,19,1.21,6.2,16
portugal-morocco,1.7,3.82,6.15,1.7,4.24,5.3
russia-egypt,1.99,3.48,4.5,2.02,3.44,4.4
poland-senegal,2.54,3.1,3.38,1.82,3.74,5.1
colombia-japan,1.86,3.42,5.5,1.97,3.54,4.5
tunisia-england,8.7,4.24,1.51,11,5.5,1.36
belgium-panama,1.25,6.8,16,1.24,7.5,14
sweden-south-korea,2.28,3.1,3.98,1.74,3.74,5.85
brazil-switzerland,1.48,4.64,8.3,1.43,4.84,9.3
germany-mexico,1.53,4.6,7.1,1.51,4.54,7.7
costa-rica-serbia,5.35,3.46,1.86,2.98,3.46,2.58
croatia-nigeria,1.69,3.84,6.3,2.27,3.6,3.4
peru-denmark,3.8,3.17,2.32,3.18,3.6,2.37
argentina-iceland,1.34,5.65,11.5,1.45,4.8,8.7
france-australia,1.27,7.4,11,1.28,6.8,12
portugal-spain,4.6,3.28,2.04,3.92,3.4,2.16
morocco-iran,2.22,3.05,4.28,2.49,3.05,3.54
egypt-uruguay,8.2,4.24,1.53,5.1,4.64,1.67
russia-saudi-arabia,1.48,4.44,8.9,1.39,5.3,9.7
