encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.15,3.08,4.15,2.01,3.29,4.38
belgium-england,2.24,3.73,3.17,2.27,3.45,3.34
croatia-england,3.69,3.02,2.34,3.36,3.21,2.37
france-belgium,2.6,3.2,3,2.5,3.23,3.11
russia-croatia,4.1,3.18,2.12,3.53,3.14,2.33
sweden-england,5.04,3.42,1.85,4.53,3.46,1.92
brazil-belgium,2.15,3.4,3.68,2.16,3.49,3.57
uruguay-france,4.65,3.19,1.99,4.2,3.23,2.08
colombia-england,3.96,3.16,2.17,3.79,3.2,2.2
sweden-switzerland,3.34,3.01,2.51,3.08,3.08,2.63
belgium-japan,1.43,4.74,8.36,1.41,4.75,9.12
brazil-mexico,1.48,4.5,7.5,1.52,4.24,7.4
croatia-denmark,2.03,3.2,4.45,1.9,3.35,4.86
spain-russia,1.59,4.19,6.15,1.49,4.54,7.31
uruguay-portugal,2.99,2.99,2.77,3.15,3.21,2.49
france-argentina,2.46,3.18,3.23,2.39,3.16,3.38
england-belgium,2.46,2.85,3.66,2.79,3.18,2.46
panama-tunisia,4.22,3.73,1.91,3.18,3.23,2.19
japan-poland,2.92,3.2,2.67,4.29,3.39,1.81
senegal-colombia,5.05,3.8,1.76,4.12,3.21,1.9
serbia-brazil,7.17,4.64,1.48,10.5,4.41,1.32
switzerland-costa-rica,1.62,3.67,7.22,1.81,3.39,4.29
mexico-sweden,2.23,3.41,3.47,2.82,3.11,2.48
south-korea-germany,16,7.85,1.19,9.94,5,1.28
iceland-croatia,4.4,3.92,1.83,3.34,3.16,2.15
nigeria-argentina,5.86,5.18,1.5,6.99,4.12,1.44
australia-peru,2.94,3.47,2.49,2.67,3.27,2.5
denmark-france,5.3,2.79,2.07,4.6,3.49,1.74
iran-portugal,6.14,4.07,1.61,8.8,4.47,1.35
spain-morocco,1.37,5.18,9.57,1.36,4.26,9.26
saudi-arabia-egypt,5.19,3.53,1.8,6,3.49,1.6
uruguay-russia,2.74,3.05,2.96,2.16,3.13,3.36
poland-colombia,3.47,3.39,2.24,2.59,3.18,2.64
japan-senegal,3.09,2.97,2.71,2.6,3.09,2.69
england-panama,1.23,6.35,17,1.2,6.13,12
germany-sweden,1.48,4.65,7.17,1.5,3.71,7.04
south-korea-mexico,5.63,3.78,1.7,4.11,3.21,1.9
belgium-tunisia,1.35,5.03,11,1.27,4.99,10.8
serbia-switzerland,2.77,3.08,2.91,2.76,3.14,2.5
nigeria-iceland,2.94,3.08,2.74,2.66,3.16,2.58
brazil-costa-rica,1.19,6.67,18,1.16,6.19,17
argentina-croatia,2.11,3.26,4,1.61,3.81,5.11
france-peru,1.62,3.81,6.61,1.28,5.16,9.5
denmark-australia,1.92,3.45,4.56,1.92,3.38,3.8
iran-spain,19,6.91,1.2,11,5.94,1.22
uruguay-saudi-arabia,1.21,6.58,15,1.2,6.22,11.6
portugal-morocco,1.71,3.68,5.82,1.58,3.99,5.1
russia-egypt,2.03,3.36,4.17,1.9,3.21,4.12
poland-senegal,2.44,3.1,3.37,1.79,3.38,4.42
colombia-japan,1.91,3.31,4.91,1.86,3.29,4.2
tunisia-england,8.55,4.16,1.49,9.57,4.86,1.3
belgium-panama,1.24,6.17,17,1.2,6.01,13
sweden-south-korea,2.3,3.04,3.75,1.65,3.38,5.66
brazil-switzerland,1.42,4.48,8.74,1.33,4.56,9.24
germany-mexico,1.45,4.73,7.71,1.44,4.09,7.08
costa-rica-serbia,5.1,3.4,1.85,3.36,3.37,2.06
croatia-nigeria,1.67,3.77,5.85,1.86,3.42,4.02
peru-denmark,3.57,3.08,2.32,3.18,3.4,2.12
argentina-iceland,1.31,5.26,10.8,1.4,4.25,7.58
france-australia,1.27,6.7,10.3,1.21,5.84,12.5
portugal-spain,4.36,3.21,2.02,3.67,3.17,2.03
morocco-iran,2.27,2.91,3.99,2.29,2.86,3.41
egypt-uruguay,7.85,4.07,1.49,4.68,3.6,1.7
russia-saudi-arabia,1.46,4.29,8.69,1.33,4.56,9.24
